"""Dies ist eine Kinderzeitschrift.[sound:oddcast-204feed9-286f2b04-e796e050-6eb9f84f-7478f7db.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""Esta é uma revista para crianças.[sound:oddcast-73deb33f-60ac3003-4d2d5c19-a3bf87b8-3039c770.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
"""Dies ist die Geschichte von Dora und ihrem Affen Bootz.[sound:oddcast-d7cb828b-5c625a7a-fc409deb-0120d066-09f5a278.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""Esta é a estória de Dora e seu macaco Bootz.[sound:oddcast-5a99748a-9adce324-8d1997d5-ae544542-957c3d65.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
"""Dora trägt ein Armband am rechten Arm.[sound:oddcast-1216a486-e7528ef9-1e6983ef-f580841f-74971b44.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""Dora usa uma pulseira no braço direito.[sound:oddcast-ce4aecf7-03548419-c31a64ef-c071c4f3-3a1d9497.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
"""Bauch und Schwanz des Affen sind gelb.[sound:oddcast-3967af43-ba1d032e-8fd8e273-5aae6382-f22785f3.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""A barriga e a cauda do macaco são amarelas.[sound:oddcast-369bfc5a-0c61666e-af9bed22-5b895123-e1c7bac1.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
"""Wir sehen Bäume, Büsche&nbsp;und Blumen auf dem Feld.[sound:oddcast-33400cce-6b4f4d1b-d1926977-c9455ccd-046c98d9.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""Vemos árvores, arbustos e flores no campo.[sound:oddcast-41b8af4a-5d9a7b98-70a6b956-625a7315-48a3b45c.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
"""Bootz 'Gesicht und Hände sind rosa.[sound:oddcast-02281f9f-f3090d45-c09eea5b-302ea1d7-8bdc45f8.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""O rosto e as mãos de Bootz são cor-de-rosa.[sound:oddcast-f7ecad20-92f48694-c7a7b914-5bbc7561-3f78dd71.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
"""Hinter Dora und Bootz gibt es einen Weg.[sound:oddcast-5544ea9e-7275cb2e-304ee386-6362fd3e-fd1956db.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""Atrás de Dora e Bootz há um caminho.[sound:oddcast-c63b7d68-ab45b995-7943f250-4262fc7c-4c167ad4.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
"""Wir sehen Hügel und Büsche auf dem Land.[sound:oddcast-a73b189b-268656e1-bed6b855-3796323d-bc6247b6.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""Vemos colinas e arbustos no campo.[sound:oddcast-f95f76df-662a3e5e-9e9a6c79-19b9ec24-b618380a.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
"""Dora und Bootz müssen das Buch in die Bibliothek bringen.[sound:oddcast-a8a7b6fd-f7b44706-d89f8180-f9e2d6b4-14264318.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""","""Dora e Bootz precisam levar o livro para a biblioteca.[sound:oddcast-3b25f599-75cdba4d-e4424bb6-7d634d74-1ea48c47.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005a.png"""">""",y,
"""Dies ist eine Karte.[sound:oddcast-358d6540-9713d234-e2540b8e-d62490aa-e8ee5e02.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""","""Este é um mapa.[sound:oddcast-c1cc4140-d659df0e-77b20146-48e529b2-a6a9e74d.mp3]<br><img src=""""https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-005b.png"""">""",y,
