Dies ist ein Chemielabor.[sound:oddcast-69c08f8a-4c480414-c5b66faa-722c3e4b-2bb9c646.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,Isto é um laboratório de química.[sound:oddcast-1696d7c6-30527ca7-223cd1df-6f0340d2-61da4443.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Es sind zwei Personen im Labor. Ein Mann und ein Junge.[sound:oddcast-bb3ea8eb-2924ac5c-b46b5493-2ceff7e9-637ea01b.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,Tem duas pessoas no laboratório. Um homem e um menino.[sound:oddcast-9aa3c2a6-7acf2b8f-1b962e22-386ea92c-e718d505.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Der Mann spricht mit dem Jungen.[sound:oddcast-93cf3a6d-acab1ec4-eabb1145-e1ed4b7b-00286c2c.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O homem fala para o menino.[sound:oddcast-eb5828da-f3318e70-e99e0e02-5e2ba2a6-4498b53d.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
"Der Mann trägt ein rosa Hemd, eine braune Hose, eine Taille und graue Schuhe.[sound:oddcast-114bf0db-2e362a69-ea65959c-0e30d40f-82e168b0.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>","O homem veste camisa rosa, calça marron, cinta e sapatos cinza.[sound:oddcast-438e570d-9139d377-d7e5f70f-5a51f603-0f6e3a36.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>",y
Der Mann hat eine Armbanduhr am rechten Arm.[sound:oddcast-b73b1ab5-08b75a29-f266acca-2543ffd9-6d2347df.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O homem tem um relógio de pulso no braço direito.[sound:oddcast-6664b973-363a5009-c2a1ca55-a1777c33-59dccc5f.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Der Mann trägt eine schwarze Brille.[sound:oddcast-de187fc3-eb73ae7d-7fa04459-fe229353-807ec66d.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O homem usa óculos preto.[sound:oddcast-5a1a9bb3-69b2270a-09d3d1e7-5a3051ff-8ca67113.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Die Brille ist schwarz.[sound:oddcast-246ee09d-2968df00-36260e4d-6b89bdca-2651fbcb.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O óculos é preto.[sound:oddcast-121d8abb-1ae2272d-4e879b0c-e77efcce-ec67fb3e.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Der Mann hat schwarze Haare.[sound:oddcast-acf20055-8a33112c-60633331-eae1d87b-06b9ac43.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O homem tem cabelos pretos.[sound:oddcast-5744af6d-495d3b77-54c70bfe-f3080125-9e40f949.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Der Junge trägt ein hellblaues T-Shirt und dunkelblaue Shorts.[sound:oddcast-d0bbefde-a4aad8e5-9c8e6862-468e2b75-7dcb9087.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O menino veste camiseta azul claro e shorts azul escuro.[sound:oddcast-05adf1d0-2bc59840-8b3f8d76-403120a2-c8b57509.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Der Junge trägt hellgraue Socken und dunkelgraue Turnschuhe.[sound:oddcast-e3f12b00-822a3c6c-e08d18bc-845922d2-8a7dcc64.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O menino usa meias cinza claro e tênis cinza escuro.[sound:oddcast-8ccd9fd5-5b5f2496-dfe79035-e2220459-ecb36725.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Der Junge hält einen braunen Baseballschläger.[sound:oddcast-91ecf946-f303126d-125737a7-d15ea590-cbe3653c.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O menino segura um taco de baseball marrom.[sound:oddcast-65ac5c43-1bd839ae-2c1a8097-fb2b13e5-b029e2bb.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Hinter dem Jungen sehen wir einen Tisch mit vielen Glasflaschen.[sound:oddcast-5feea7b6-0aa45135-d671a117-cd400fdc-abe0995f.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,Atrás do menino vemos uma mesa com muitos frascos de vidro.[sound:oddcast-bd6b21fa-4c663028-e1c7429e-e8b65b53-d5a3b9d5.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Die erste Glasflasche hat orange Flüssigkeit.[sound:oddcast-399a7db4-ce539d20-e44b2263-95d3701c-13b522c4.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O primeiro frasco de vidro tem líquido laranja.[sound:oddcast-2427c636-97e4ce73-9386b384-210dec12-34a77d44.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Die zweite Glasflasche hat blaue Flüssigkeit.[sound:oddcast-ef89fc9f-123cecb9-c20de935-059d5927-be986f68.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O segundo frasco de vidro tem líquido azul.[sound:oddcast-c2ae9acb-a1579864-b7108acc-2af6490f-6453d02b.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Die dritte Glasflasche hat rosa Flüssigkeit.[sound:oddcast-93c962c6-fcf70941-6b3a99de-49517fd7-fa68ebbb.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O terceiro frasco de vidro tem líquido rosa.[sound:oddcast-8e67025a-a2ff5b76-682e1ec9-c82743d3-dbf775db.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Die vierte Glasflasche hat eine gelbe Flüssigkeit.[sound:oddcast-ea9f4012-292485ef-043f043c-31bf7f05-9a901dc3.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O quarto frasco de vidro tem líquido amarelo.[sound:oddcast-70653ab1-e7ba9aee-e65379c9-95d3b8ad-04ba83c6.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
Die fünfte Glasflasche hat rote Flüssigkeit.[sound:oddcast-8b05b490-ac865da0-4acbdec7-3403048f-2ee14d36.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,O quinto frasco de vidro tem líquido vermelho.[sound:oddcast-10389f9b-0f6b6ffe-c8bbb378-65ff9226-94265b34.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-002.png'>,y
