Dies ist ein Wohnzimmer.[sound:oddcast-46f27d67-cd37370c-110dad4e-f49f2166-ce908d10.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Isto é uma sala de estar.[sound:oddcast-e0aeda06-34eebce8-71ed4c01-1dbbfa77-eee26265.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Wir sehen einen Mann und einen Jungen auf der Couch sitzen.[sound:oddcast-85dc97ea-ce7882ff-dd2fd680-1c2b4b3a-e2b8fd79.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Vemos um homem e um menino sentados no sofá.[sound:oddcast-0cf8b034-b681accf-0a96b0ab-8a7dfac0-793cf6ff.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Der Mann und der Junge lesen ein Buch.[sound:oddcast-afbf237b-273e156b-441fe268-20194e53-9d4103d8.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,O homem e o menino estão lendo um livro.[sound:oddcast-97e376e8-db4aeb80-e72a1256-49b18ad7-883b8781.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Der Mann trägt ein graues Hemd und blaue Jeans.[sound:oddcast-b7f368d8-c67fb988-ee54cdf0-5473b0ff-a8994d64.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,O homem veste camisa cinzenta e calça jeans azul.[sound:oddcast-8c5c746b-7e0faff7-d19a88b8-30d83262-9a99604e.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Der Mann trägt schwarze Socken.[sound:oddcast-6443f450-e8e87b0f-6161fdba-f4f7f9d0-531c84a0.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,O homem calça meias pretas.[sound:oddcast-4648810a-93fb180f-2de4b0b1-b427abc8-dd36212b.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Der Junge trägt ein beiges T-Shirt und blaue Jeans.[sound:oddcast-791c1223-ac9fe6fe-43036e70-43fba575-0a2c743e.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,O menino veste camiseta bege e calça jeans azul.[sound:oddcast-ee2bf96e-1fe4350f-84bfbef2-1b783c79-31f0e345.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Der Junge trägt auch schwarze Socken.[sound:oddcast-0bb670bd-a09b162c-500a444a-83b97411-e81455e4.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,O menino usa meias pretas também.[sound:oddcast-4976e32b-95abd176-9d118094-1f54dd6a-4130fe1b.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
"Der Mann hat weiße Haare, Bart und Schnurrbart.[sound:oddcast-b55c30c8-aa353d1e-94829f4c-ee1ab1d4-71e99756.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>","O homem tem cabelos, barba e bigode brancos.[sound:oddcast-353b5322-f14bdce1-8cd7e66a-81ec71a9-4c330fa7.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>",y
Der Junge hat blondes Haar.[sound:oddcast-bbcc5715-e20781ee-6e0a3cdd-70e3e8a8-27317d44.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,O menino tem cabelos loiros.[sound:oddcast-9b2f40ee-2fc16f52-3c3ce8aa-49ed9a1f-7e39df88.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Wir sehen links drei Kissen auf dem Sofa.[sound:oddcast-9660e422-f5b42310-7182567b-ece7b1fc-70c3b2f7.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Vemos tres almofadas sobre o sofá do lado esquerdo.[sound:oddcast-08a39364-ea123300-124da77a-a7677fc8-45df7232.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Wir sehen ein weiteres Sofa auf der rechten Seite des Raumes.[sound:oddcast-7a34c504-2c01c1cc-dc57d473-7583a0c7-c9065796.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Vemos um outro sofá do lado direito da sala.[sound:oddcast-f7981fd6-9ea9c903-fba32020-310f2717-7a722997.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Wir sehen auch drei Kissen auf dem Sofa auf der rechten Seite.[sound:oddcast-c1401f6e-033e5059-344a06f1-6a6739d0-ba06151d.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Vemos três almofadas sobre o sofá do lado direito também.[sound:oddcast-fddebb16-d284ebdc-78402e70-82e901c7-02fcc8f9.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Das Zimmer hat einen Parkettboden.[sound:oddcast-90eaeb18-cd1c8aa2-d0d7ad9e-c34bbc1d-1c8b7abc.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,"A sala é de piso de taco, ou de piso parquet.[sound:oddcast-76f4ed24-228a4748-a2962cf3-a6eeb1b5-58313bb3.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>",y
"Auf dem Fußboden liegt ein bunter Teppich. Der Teppich ist weiß, braun und gelb.[sound:oddcast-413637d1-f2b086ca-3dfff3ec-b62516ca-ef435456.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>","Há um tapete colorido sobre o piso. O tapete é branco, marrom e amarelo.[sound:oddcast-2b21dc4e-b039f43b-61af1e66-053f6297-2796f35a.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>",y
Der Staubsauger liegt auf dem Teppich.[sound:oddcast-be80790f-932e1e6c-0bd596c1-d0d956b3-a698ddfe.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Vemos um aspirador de pó sobre o tapete.[sound:oddcast-de621f2b-b3f358ac-04304104-6dcf6aff-db190126.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Das Sofa besteht aus Stoff.[sound:oddcast-291ad8cc-7b62ad32-4962e0f1-dd030e59-c1457a57.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,O sofá é feito de tecido.[sound:oddcast-ec3d8344-30cc6eb3-5e7e6374-a7b12de5-170eb06a.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Der Staubsauger besteht aus Kunststoff.[sound:oddcast-cd07bb26-d1fdb1ba-77df002a-01a99a5b-1a832c3e.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,O aspirador é feito de plástico.[sound:oddcast-8a69621f-75f16fe9-dc1fd0d5-f8d577a0-1fcabeea.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Der Fußboden ist aus Holz.[sound:oddcast-2689f4de-1a718957-3fa55b69-4d6bac7c-a86ca962.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,O piso é de madeira.[sound:oddcast-1e8e1204-88e6a4f1-54fb8dce-8ca65866-9a282fd8.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Der Staubsauger hat einen Schlauch aus Kunststoff und Metall.[sound:oddcast-3bfbd523-c18d845a-e7d8f596-c6fc9cb6-2bb734e7.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,O aspirador tem um tubo feito de plástico e metal.[sound:oddcast-c10ad419-1cdacf68-3d6b3568-4e2c9587-5687cc9b.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Wir sehen einen quadratischen Couchtisch auf dem Teppich.[sound:oddcast-7ed8a2f1-29cd9049-c018c354-c24c42d6-0940a26f.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Vemos uma mesa de centro quadrada sobre o tapete.[sound:oddcast-3efa9fdf-d95c0beb-09df59fb-9bfb2d54-3ceeabe2.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Auf dem Tisch steht eine weiße Vase mit Pflanzen.[sound:oddcast-7ec2d10e-45967cc5-a2183971-bd8926e3-dca02ab2.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Tem um vaso branco com plantas sobre a mesa.[sound:oddcast-51f5e90c-f2fdf9ec-44023ac3-10fc5916-c34f1a17.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Wir sehen einen runden Tisch neben dem Jungen.[sound:oddcast-4bddf970-7882ebe1-9e6c262b-0d136f1e-c3399cba.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Vemos uma mesinha redonda perto do menino.[sound:oddcast-c148b782-f3870844-fd229397-ef11c0bd-a8d3d5e5.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Auf dem runden Tisch steht eine Lampe.[sound:oddcast-377b166c-8de9f35a-4bc81381-73eb6859-26a853ff.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Tem uma lâmpada sobre a mesinha redonda.[sound:oddcast-83ab56f8-596d3258-6e8f48ee-c3917cbd-0aa9ee89.mp3]<br><br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
Wir sehen einen Lichtschalter neben der Lampe auf dem runden Tisch.[sound:oddcast-9d90acf5-b48cd9e4-e1d6a4a9-0ff6fbfc-ee80ab24.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,Vemos um interruptor próximo à lâmpada.[sound:oddcast-d42f1628-da3c03ff-6932c1b5-162b73f4-755b3bec.mp3]<br><img src='https://github.com/frgomes/anki-decks/raw/master/German-Portuguese/assets/Story-003a.png'>,y
